n_neurons,n_layers,dropout,epochs,optimizer,loss 1,accuracy 1,loss 2,accuracy 2,loss 3,accuracy 3,loss 4,accuracy 4,loss 5,accuracy 5
1024,1,0.25,10,adam,1.6151703596115112,0.413100004196167,1.5995675325393677,0.4287000000476837,1.5936964750289917,0.43700000643730164,1.6016173362731934,0.4291999936103821,1.5922939777374268,0.4375
512,1,0.25,10,adam,1.6519631147384644,0.4034000039100647,1.650094747543335,0.40720000863075256,1.634080410003662,0.41920000314712524,1.6593246459960938,0.4056999981403351,1.646762490272522,0.40630000829696655
2048,1,0.25,10,adam,1.5711102485656738,0.4424000084400177,1.5480706691741943,0.4562000036239624,1.565138816833496,0.4406000077724457,1.5726126432418823,0.44339999556541443,1.5815211534500122,0.42910000681877136
4096,1,0.25,10,adam,1.592451572418213,0.42820000648498535,1.561981439590454,0.4440000057220459,1.5725334882736206,0.4323999881744385,1.5978418588638306,0.4302999973297119,1.5935288667678833,0.4309000074863434
1024,2,0.25,10,adam,1.7135628461837769,0.3977000117301941,1.699445128440857,0.4016999900341034,1.7560529708862305,0.359499990940094,1.6905994415283203,0.3903999924659729,1.756235957145691,0.38440001010894775
1024,3,0.25,10,adam,1.7029494047164917,0.3950999975204468,1.729818344116211,0.3882000148296356,1.7471494674682617,0.36550000309944153,1.73945152759552,0.3763999938964844,1.7174522876739502,0.3846000134944916
1024,1,0.0,10,adam,1.5059784650802612,0.4681999981403351,1.5212496519088745,0.45660001039505005,1.5048600435256958,0.47380000352859497,1.4918209314346313,0.46939998865127563,1.5247160196304321,0.4546000063419342
1024,1,0.5,10,adam,1.7733854055404663,0.3580999970436096,1.7130919694900513,0.3799000084400177,1.7085661888122559,0.3824000060558319,1.7472447156906128,0.37630000710487366,1.7186373472213745,0.3837999999523163
1024,1,0.25,10,RMSprop,1.687950611114502,0.3971000015735626,1.741227149963379,0.390500009059906,1.6281689405441284,0.42410001158714294,1.645082950592041,0.4016999900341034,1.7033312320709229,0.41749998927116394
1024,1,0.25,10,SGD,1.4455931186676025,0.48649999499320984,1.4528390169143677,0.4918999969959259,1.4209274053573608,0.5024999976158142,1.4561859369277954,0.4936000108718872,1.4822475910186768,0.47850000858306885
1024,1,0.25,5,adam,1.6925948858261108,0.40540000796318054,1.6571351289749146,0.41339999437332153,1.6431726217269897,0.41280001401901245,1.638942003250122,0.415800005197525,1.6715888977050781,0.40549999475479126
1024,1,0.25,20,adam,1.540790319442749,0.4580000042915344,1.548327922821045,0.4499000012874603,1.5827796459197998,0.4383000135421753,1.5807983875274658,0.42980000376701355,1.5440880060195923,0.445499986410141
1024,1,0.25,30,adam,1.5124355554580688,0.4544000029563904,1.5322178602218628,0.4505999982357025,1.5517956018447876,0.4487999975681305,1.5550135374069214,0.44830000400543213,1.5339125394821167,0.46320000290870667
